score,top1_count,top3_count,top3_share
1-1,48,65,0.625
1-0,20,54,0.5192307692307693
0-1,17,38,0.36538461538461536
2-1,0,35,0.33653846153846156
1-2,0,31,0.2980769230769231
2-0,8,26,0.25
3-0,6,19,0.18269230769230768
4-0,3,14,0.1346153846153846
0-0,0,13,0.125
0-2,1,11,0.10576923076923077
5-0,0,3,0.028846153846153848
0-3,1,2,0.019230769230769232
0-4,0,1,0.009615384615384616
